App Name,Frequency of Use,Satisfaction Rating,What Do You Like Most?,Likelihood to Recommend,Fraud Concerns,App Improvement,Safe to Use,Data Handling,Unsolicited Messages,Comments/Suggestions
Instagram,Rarely,4,Design/UI,2,Inconsistent behavior across devices,Security,Not Sure,No,"Yes, occasionally",No comments
Candy Crush Saga,Daily,5,Design/UI,3,Suspicious permissions request,Speed/Performance,Yes,No,"Yes, occasionally",No comments
The New York Times,Monthly,1,Design/UI,4,Frequent crashes or slow performance,Security,Yes,Yes,"Yes, occasionally",Suggestions for improvement
Telegram,Daily,5,Ease of use,4,Suspicious permissions request,Bug Fixes,Yes,Not Sure,"Yes, occasionally",No comments
Twitter,Never,1,Customer Support,3,Inconsistent behavior across devices,Customer Support,Yes,No,"Yes, regularly",Suggestions for improvement
Microsoft Word,Rarely,5,Speed/Performance,3,Suspicious permissions request,Speed/Performance,No,Not Sure,"Yes, occasionally",No comments
Netflix,Weekly,5,Ease of use,1,None,Speed/Performance,No,Yes,"Yes, regularly",No comments
Google News,Rarely,2,Speed/Performance,2,Suspicious permissions request,Customer Support,Not Sure,Not Sure,"Yes, occasionally",No comments
Google Docs,Never,3,Features,2,Inconsistent behavior across devices,Features,Yes,Not Sure,"Yes, regularly",No comments
Telegram,Daily,5,Features,4,None,Speed/Performance,Not Sure,Yes,"Yes, regularly",No comments
BBC News,Rarely,1,Design/UI,2,Suspicious permissions request,Bug Fixes,Not Sure,No,"Yes, regularly",No comments
Disney+,Monthly,1,Ease of use,2,Frequent crashes or slow performance,Customer Support,Not Sure,Yes,"Yes, occasionally",Suggestions for improvement
Khan Academy,Monthly,5,Customer Support,5,Inconsistent behavior across devices,Speed/Performance,No,No,"No, never",No comments
Evernote,Daily,3,Ease of use,1,None,Bug Fixes,No,Not Sure,"Yes, occasionally",No comments
Netflix,Daily,5,Customer Support,1,Frequent crashes or slow performance,Bug Fixes,Not Sure,Not Sure,"No, never",No comments
Fitbit,Monthly,4,Ease of use,1,Unexplained data collection,Customer Support,No,No,"No, never",No comments
Fitbit,Rarely,1,Speed/Performance,5,Unexplained data collection,Speed/Performance,Yes,Not Sure,"No, never",No comments
Skype,Never,4,Ease of use,4,Suspicious permissions request,Bug Fixes,Not Sure,Not Sure,"Yes, occasionally",No comments
Microsoft Word,Daily,3,Customer Support,5,Unexplained data collection,User Interface,No,No,"No, never",No comments
PUBG Mobile,Rarely,2,Design/UI,3,None,Customer Support,Yes,No,"Yes, occasionally",No comments
Facebook,Daily,5,Features,5,Suspicious permissions request,Features,Not Sure,No,"No, never",No comments
WhatsApp,Weekly,3,Customer Support,5,Suspicious permissions request,Speed/Performance,No,No,"No, never",No comments
Flipboard,Rarely,5,Features,5,Suspicious permissions request,Customer Support,No,Not Sure,"Yes, regularly",No comments
The New York Times,Monthly,1,Features,5,None,Customer Support,Yes,No,"Yes, regularly",Suggestions for improvement
Fitbit,Monthly,1,Features,1,Unexplained data collection,User Interface,Not Sure,No,"Yes, regularly",No comments
Google Docs,Weekly,2,Features,5,Inconsistent behavior across devices,User Interface,Yes,Yes,"Yes, occasionally",No comments
Google Docs,Never,1,Speed/Performance,5,Frequent crashes or slow performance,Bug Fixes,Not Sure,Yes,"Yes, occasionally",No comments
Microsoft Word,Never,1,Ease of use,5,Suspicious permissions request,Speed/Performance,Yes,No,"Yes, regularly",No comments
Among Us,Rarely,1,Design/UI,1,Unexplained data collection,Features,Yes,No,"No, never",No comments
Signal,Rarely,1,Design/UI,5,Suspicious permissions request,Security,Yes,Not Sure,"No, never",No comments
Google Docs,Never,3,Features,3,Unexplained data collection,User Interface,Yes,Yes,"Yes, occasionally",No comments
Instagram,Daily,5,Design/UI,1,Inconsistent behavior across devices,User Interface,Not Sure,No,"Yes, regularly",No comments
Skype,Weekly,1,Design/UI,4,Inconsistent behavior across devices,Security,Yes,Not Sure,"Yes, regularly",No comments
The New York Times,Rarely,3,Ease of use,5,None,User Interface,Yes,Yes,"Yes, regularly",No comments
Facebook,Daily,1,Customer Support,4,Inconsistent behavior across devices,Bug Fixes,No,Not Sure,"Yes, regularly",No comments
Twitter,Daily,3,Speed/Performance,3,None,Security,Yes,No,"Yes, regularly",No comments
Headspace,Rarely,1,Design/UI,2,Frequent crashes or slow performance,User Interface,No,Not Sure,"Yes, occasionally",No comments
Trello,Weekly,1,Features,4,Frequent crashes or slow performance,User Interface,Not Sure,Yes,"No, never",Suggestions for improvement
The New York Times,Weekly,4,Ease of use,2,Inconsistent behavior across devices,Security,No,Not Sure,"Yes, occasionally",No comments
Among Us,Daily,2,Ease of use,4,Suspicious permissions request,Features,Not Sure,No,"No, never",No comments
Facebook Messenger,Rarely,2,Ease of use,3,Inconsistent behavior across devices,Bug Fixes,Not Sure,Yes,"Yes, regularly",No comments
Skype,Rarely,3,Customer Support,5,Frequent crashes or slow performance,Features,Yes,Yes,"No, never",No comments
Candy Crush Saga,Monthly,4,Design/UI,4,Suspicious permissions request,Speed/Performance,No,No,"No, never",Suggestions for improvement
Among Us,Monthly,5,Customer Support,5,None,Bug Fixes,Yes,Not Sure,"Yes, occasionally",No comments
Signal,Weekly,2,Speed/Performance,1,Suspicious permissions request,Features,Not Sure,No,"No, never",No comments
Signal,Weekly,5,Speed/Performance,4,None,Speed/Performance,Not Sure,No,"No, never",No comments
Coursera,Never,2,Design/UI,5,Unexplained data collection,Speed/Performance,Yes,No,"No, never",No comments
Coursera,Never,5,Customer Support,2,Suspicious permissions request,Speed/Performance,Not Sure,Not Sure,"Yes, occasionally",Suggestions for improvement
Skype,Rarely,2,Design/UI,1,Inconsistent behavior across devices,User Interface,No,No,"Yes, regularly",No comments
Coursera,Weekly,1,Speed/Performance,2,Unexplained data collection,Customer Support,No,Not Sure,"No, never",No comments
WhatsApp,Weekly,2,Customer Support,5,None,Features,Yes,Yes,"Yes, occasionally",No comments
Microsoft Word,Daily,3,Features,5,Inconsistent behavior across devices,Speed/Performance,Yes,Not Sure,"Yes, occasionally",No comments
Headspace,Daily,2,Customer Support,3,Frequent crashes or slow performance,User Interface,Not Sure,No,"No, never",No comments
Slack,Daily,1,Speed/Performance,1,Unexplained data collection,User Interface,Yes,Yes,"Yes, regularly",No comments
Netflix,Daily,5,Features,2,Frequent crashes or slow performance,Features,Not Sure,No,"Yes, regularly",Suggestions for improvement
Strava,Weekly,4,Design/UI,1,Frequent crashes or slow performance,Speed/Performance,Yes,Not Sure,"No, never",No comments
Fitbit,Daily,3,Ease of use,3,None,Features,Yes,Yes,"Yes, regularly",Suggestions for improvement
Fitbit,Rarely,1,Customer Support,4,Inconsistent behavior across devices,Bug Fixes,Not Sure,Not Sure,"No, never",No comments
Spotify,Never,4,Speed/Performance,4,Inconsistent behavior across devices,Security,Not Sure,No,"Yes, regularly",No comments
Instagram,Daily,4,Customer Support,3,Inconsistent behavior across devices,Speed/Performance,Yes,Yes,"Yes, occasionally",No comments
Netflix,Rarely,5,Speed/Performance,5,Suspicious permissions request,Customer Support,Not Sure,No,"Yes, occasionally",No comments
Facebook,Monthly,5,Ease of use,4,None,Features,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Strava,Weekly,1,Customer Support,5,Inconsistent behavior across devices,Bug Fixes,Not Sure,No,"Yes, regularly",No comments
Snapchat,Rarely,1,Customer Support,4,None,User Interface,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
Candy Crush Saga,Daily,1,Ease of use,4,Suspicious permissions request,Speed/Performance,Not Sure,No,"Yes, regularly",Suggestions for improvement
Duolingo,Never,4,Speed/Performance,1,None,Features,Not Sure,Not Sure,"Yes, occasionally",No comments
Coursera,Daily,1,Design/UI,4,Frequent crashes or slow performance,Speed/Performance,Not Sure,Not Sure,"No, never",No comments
Microsoft Word,Never,5,Ease of use,2,Suspicious permissions request,Customer Support,Yes,Not Sure,"No, never",No comments
YouTube,Monthly,2,Design/UI,2,Unexplained data collection,Speed/Performance,No,Not Sure,"Yes, regularly",No comments
Twitter,Never,2,Features,4,Frequent crashes or slow performance,Security,No,Not Sure,"Yes, regularly",No comments
PUBG Mobile,Monthly,1,Ease of use,5,Frequent crashes or slow performance,Security,Not Sure,No,"Yes, regularly",No comments
Slack,Weekly,1,Customer Support,4,Unexplained data collection,Speed/Performance,No,No,"No, never",No comments
Duolingo,Daily,5,Ease of use,4,Suspicious permissions request,Bug Fixes,Yes,Not Sure,"Yes, occasionally",No comments
Skype,Daily,3,Ease of use,5,Inconsistent behavior across devices,User Interface,Yes,No,"Yes, occasionally",No comments
Skype,Daily,4,Ease of use,5,Unexplained data collection,Bug Fixes,Not Sure,No,"Yes, occasionally",Suggestions for improvement
Google Docs,Rarely,3,Speed/Performance,3,Unexplained data collection,Speed/Performance,Not Sure,No,"Yes, regularly",No comments
Signal,Never,3,Speed/Performance,4,Unexplained data collection,Customer Support,Yes,Yes,"Yes, regularly",No comments
BBC News,Monthly,3,Speed/Performance,2,Suspicious permissions request,Features,Yes,Yes,"Yes, regularly",No comments
Disney+,Rarely,1,Ease of use,1,Frequent crashes or slow performance,User Interface,No,No,"Yes, regularly",No comments
Signal,Never,1,Ease of use,2,Frequent crashes or slow performance,Security,Not Sure,Not Sure,"Yes, occasionally",No comments
CNN,Never,5,Ease of use,3,Unexplained data collection,Security,No,No,"Yes, occasionally",No comments
PUBG Mobile,Monthly,3,Features,3,Inconsistent behavior across devices,Features,Yes,Yes,"No, never",No comments
YouTube,Monthly,1,Customer Support,1,Inconsistent behavior across devices,Customer Support,No,Not Sure,"Yes, regularly",Suggestions for improvement
Skype,Daily,1,Speed/Performance,5,Suspicious permissions request,Speed/Performance,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
Duolingo,Rarely,3,Ease of use,3,Frequent crashes or slow performance,User Interface,No,No,"Yes, occasionally",No comments
Facebook Messenger,Monthly,3,Features,4,Inconsistent behavior across devices,Security,Not Sure,Not Sure,"Yes, regularly",No comments
Telegram,Rarely,5,Design/UI,5,None,Customer Support,Not Sure,Not Sure,"Yes, regularly",No comments
Among Us,Weekly,3,Ease of use,5,Suspicious permissions request,Features,No,Yes,"No, never",No comments
Disney+,Never,5,Design/UI,3,Inconsistent behavior across devices,User Interface,No,Not Sure,"Yes, regularly",Suggestions for improvement
Coursera,Rarely,4,Design/UI,5,None,Customer Support,No,Yes,"Yes, occasionally",Suggestions for improvement
Netflix,Monthly,1,Design/UI,5,Unexplained data collection,Features,Yes,Not Sure,"No, never",No comments
Fitbit,Rarely,3,Features,4,Suspicious permissions request,Security,No,No,"Yes, occasionally",No comments
PUBG Mobile,Monthly,1,Design/UI,3,Inconsistent behavior across devices,Security,Not Sure,No,"Yes, regularly",No comments
MyFitnessPal,Weekly,4,Speed/Performance,4,Suspicious permissions request,Bug Fixes,Yes,No,"Yes, regularly",Suggestions for improvement
Pinterest,Rarely,1,Speed/Performance,3,None,Bug Fixes,No,No,"Yes, regularly",No comments
Khan Academy,Rarely,5,Customer Support,2,Suspicious permissions request,User Interface,Not Sure,Not Sure,"No, never",No comments
Skype,Rarely,5,Design/UI,1,Suspicious permissions request,Customer Support,Not Sure,Yes,"Yes, occasionally",No comments
Quizlet,Weekly,1,Ease of use,5,Inconsistent behavior across devices,Customer Support,Not Sure,No,"No, never",No comments
Calm,Weekly,1,Features,2,None,Security,No,No,"No, never",No comments
Telegram,Never,1,Features,5,Inconsistent behavior across devices,Speed/Performance,No,Yes,"Yes, occasionally",No comments
Skype,Weekly,5,Design/UI,1,Unexplained data collection,Speed/Performance,No,No,"No, never",No comments
Facebook Messenger,Monthly,2,Customer Support,4,Inconsistent behavior across devices,Bug Fixes,Yes,No,"Yes, regularly",No comments
Fitbit,Daily,5,Design/UI,2,Frequent crashes or slow performance,Bug Fixes,Yes,Yes,"Yes, occasionally",No comments
Google News,Rarely,2,Features,4,Frequent crashes or slow performance,Speed/Performance,Not Sure,Yes,"No, never",No comments
Skype,Never,3,Ease of use,4,Frequent crashes or slow performance,Features,Yes,No,"Yes, regularly",No comments
Twitter,Monthly,2,Features,2,Inconsistent behavior across devices,User Interface,Yes,Not Sure,"Yes, occasionally",No comments
CNN,Monthly,1,Features,3,Inconsistent behavior across devices,Features,Yes,Yes,"Yes, regularly",Suggestions for improvement
Trello,Daily,5,Features,4,None,Security,Not Sure,Yes,"Yes, regularly",No comments
Netflix,Daily,1,Design/UI,1,Unexplained data collection,Speed/Performance,No,No,"No, never",No comments
Headspace,Never,2,Speed/Performance,4,Frequent crashes or slow performance,Features,Not Sure,No,"Yes, regularly",Suggestions for improvement
Fitbit,Monthly,3,Ease of use,4,None,Speed/Performance,Yes,Yes,"Yes, occasionally",No comments
PUBG Mobile,Rarely,3,Customer Support,2,Suspicious permissions request,Bug Fixes,Yes,No,"No, never",No comments
Facebook,Rarely,1,Design/UI,1,Unexplained data collection,Customer Support,No,Yes,"Yes, regularly",No comments
PUBG Mobile,Never,5,Ease of use,3,Unexplained data collection,Customer Support,Yes,Not Sure,"Yes, regularly",No comments
Disney+,Monthly,4,Features,2,Unexplained data collection,Speed/Performance,No,No,"No, never",No comments
Duolingo,Never,1,Ease of use,2,Suspicious permissions request,Speed/Performance,No,Yes,"Yes, regularly",Suggestions for improvement
Google News,Monthly,1,Speed/Performance,4,Suspicious permissions request,Bug Fixes,Not Sure,No,"Yes, regularly",No comments
WhatsApp,Weekly,1,Speed/Performance,5,Suspicious permissions request,Speed/Performance,No,No,"No, never",No comments
Facebook Messenger,Never,5,Design/UI,4,None,Features,Not Sure,Yes,"No, never",No comments
Among Us,Rarely,3,Customer Support,1,None,Security,Not Sure,No,"Yes, regularly",No comments
Fitbit,Monthly,4,Features,5,Frequent crashes or slow performance,Customer Support,Not Sure,Yes,"No, never",No comments
Netflix,Daily,4,Ease of use,1,None,Bug Fixes,Yes,Not Sure,"Yes, regularly",No comments
Fortnite,Never,5,Ease of use,2,None,Customer Support,No,Yes,"No, never",No comments
Strava,Monthly,5,Ease of use,5,None,Customer Support,Yes,Not Sure,"Yes, occasionally",No comments
Duolingo,Daily,2,Design/UI,4,None,Security,Yes,No,"Yes, regularly",No comments
Khan Academy,Monthly,5,Features,1,Frequent crashes or slow performance,Speed/Performance,No,Yes,"No, never",No comments
MyFitnessPal,Weekly,1,Features,2,None,User Interface,No,No,"Yes, occasionally",No comments
Pinterest,Weekly,2,Features,3,Inconsistent behavior across devices,Security,No,No,"Yes, occasionally",Suggestions for improvement
Headspace,Rarely,2,Design/UI,1,None,User Interface,Not Sure,Not Sure,"No, never",No comments
Pinterest,Monthly,2,Speed/Performance,5,Suspicious permissions request,Bug Fixes,Yes,No,"No, never",No comments
Microsoft Word,Never,5,Design/UI,3,Inconsistent behavior across devices,Features,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Duolingo,Weekly,2,Design/UI,2,Unexplained data collection,Security,No,No,"Yes, occasionally",No comments
Hulu,Monthly,4,Ease of use,3,Inconsistent behavior across devices,Features,Yes,No,"Yes, occasionally",No comments
Strava,Never,3,Ease of use,1,Inconsistent behavior across devices,Features,Not Sure,Yes,"No, never",No comments
Facebook Messenger,Daily,3,Features,1,None,Speed/Performance,No,Yes,"No, never",No comments
Fortnite,Weekly,1,Customer Support,3,Inconsistent behavior across devices,User Interface,No,Not Sure,"Yes, occasionally",No comments
Clash of Clans,Weekly,4,Design/UI,1,Suspicious permissions request,User Interface,Not Sure,No,"Yes, regularly",No comments
YouTube,Monthly,4,Design/UI,5,None,User Interface,No,No,"Yes, occasionally",No comments
Trello,Daily,1,Ease of use,4,None,Bug Fixes,No,No,"Yes, regularly",No comments
Headspace,Never,1,Speed/Performance,2,Inconsistent behavior across devices,Features,Not Sure,Yes,"Yes, occasionally",No comments
Evernote,Daily,2,Design/UI,4,Suspicious permissions request,Speed/Performance,Yes,Not Sure,"Yes, regularly",No comments
The New York Times,Never,2,Design/UI,5,Inconsistent behavior across devices,Security,Not Sure,Not Sure,"Yes, occasionally",No comments
Calm,Daily,1,Features,1,Suspicious permissions request,User Interface,No,Not Sure,"No, never",No comments
Flipboard,Rarely,4,Design/UI,4,Frequent crashes or slow performance,Security,Yes,Yes,"Yes, occasionally",No comments
Snapchat,Monthly,5,Speed/Performance,2,Suspicious permissions request,Speed/Performance,Yes,No,"Yes, regularly",No comments
Flipboard,Daily,5,Ease of use,1,Unexplained data collection,Customer Support,Yes,Not Sure,"No, never",No comments
Coursera,Weekly,3,Features,1,Inconsistent behavior across devices,Customer Support,Yes,Not Sure,"Yes, occasionally",Suggestions for improvement
Evernote,Never,5,Customer Support,2,Inconsistent behavior across devices,Bug Fixes,Not Sure,No,"No, never",No comments
Facebook Messenger,Rarely,3,Features,2,Unexplained data collection,Bug Fixes,Not Sure,No,"No, never",Suggestions for improvement
PUBG Mobile,Rarely,4,Design/UI,5,Unexplained data collection,Customer Support,Not Sure,No,"Yes, occasionally",No comments
Facebook,Rarely,3,Features,2,None,Security,Yes,No,"Yes, occasionally",No comments
Flipboard,Monthly,2,Features,3,Unexplained data collection,User Interface,Yes,Yes,"No, never",No comments
Among Us,Weekly,5,Ease of use,1,Inconsistent behavior across devices,Bug Fixes,Not Sure,Not Sure,"Yes, regularly",No comments
Flipboard,Monthly,4,Ease of use,1,None,User Interface,Yes,Yes,"Yes, occasionally",No comments
BBC News,Daily,4,Design/UI,2,None,Features,No,Not Sure,"Yes, regularly",No comments
Khan Academy,Weekly,5,Ease of use,2,Frequent crashes or slow performance,Security,No,Yes,"Yes, occasionally",No comments
Calm,Never,2,Customer Support,2,Frequent crashes or slow performance,Security,Yes,Not Sure,"Yes, occasionally",No comments
Microsoft Word,Rarely,3,Speed/Performance,3,Inconsistent behavior across devices,User Interface,Yes,Not Sure,"No, never",No comments
Quizlet,Rarely,1,Features,3,None,Bug Fixes,Yes,Yes,"Yes, regularly",No comments
Netflix,Weekly,4,Speed/Performance,2,None,User Interface,Not Sure,Not Sure,"Yes, regularly",Suggestions for improvement
Telegram,Rarely,4,Customer Support,3,Unexplained data collection,Features,No,Not Sure,"Yes, regularly",Suggestions for improvement
Facebook Messenger,Monthly,3,Design/UI,5,Suspicious permissions request,Customer Support,Yes,No,"Yes, occasionally",No comments
The New York Times,Never,3,Ease of use,3,Frequent crashes or slow performance,User Interface,Yes,Not Sure,"No, never",Suggestions for improvement
Khan Academy,Monthly,2,Customer Support,4,Unexplained data collection,Features,Yes,Not Sure,"Yes, regularly",No comments
The New York Times,Rarely,1,Features,1,Frequent crashes or slow performance,Speed/Performance,No,Not Sure,"No, never",Suggestions for improvement
BBC News,Never,4,Speed/Performance,4,None,User Interface,Not Sure,Not Sure,"No, never",No comments
Khan Academy,Daily,5,Ease of use,5,Suspicious permissions request,Speed/Performance,Not Sure,No,"Yes, occasionally",No comments
Google News,Monthly,5,Ease of use,5,Frequent crashes or slow performance,Speed/Performance,Not Sure,Not Sure,"No, never",Suggestions for improvement
Instagram,Rarely,4,Design/UI,5,None,User Interface,Not Sure,No,"No, never",Suggestions for improvement
Fortnite,Rarely,4,Design/UI,2,None,Features,Yes,Yes,"No, never",Suggestions for improvement
Google Docs,Never,5,Features,5,Unexplained data collection,User Interface,Yes,Not Sure,"No, never",No comments
Facebook Messenger,Weekly,1,Ease of use,2,Inconsistent behavior across devices,Bug Fixes,Not Sure,No,"Yes, occasionally",No comments
WhatsApp,Never,5,Speed/Performance,3,Inconsistent behavior across devices,Customer Support,Yes,Yes,"Yes, occasionally",No comments
The New York Times,Rarely,3,Features,2,None,User Interface,Yes,Yes,"Yes, regularly",Suggestions for improvement
The New York Times,Daily,5,Design/UI,5,Frequent crashes or slow performance,User Interface,Yes,Yes,"No, never",Suggestions for improvement
Skype,Weekly,1,Customer Support,1,Inconsistent behavior across devices,Customer Support,Yes,No,"No, never",No comments
Quizlet,Rarely,3,Customer Support,1,Unexplained data collection,User Interface,No,Yes,"Yes, occasionally",No comments
Facebook Messenger,Monthly,5,Customer Support,3,Frequent crashes or slow performance,Bug Fixes,No,Not Sure,"Yes, occasionally",No comments
MyFitnessPal,Weekly,2,Ease of use,1,Unexplained data collection,User Interface,Yes,Not Sure,"Yes, regularly",No comments
Khan Academy,Daily,3,Customer Support,5,Suspicious permissions request,Bug Fixes,No,Not Sure,"Yes, regularly",No comments
Spotify,Weekly,1,Customer Support,2,Inconsistent behavior across devices,Bug Fixes,Yes,No,"Yes, occasionally",No comments
Skype,Weekly,3,Design/UI,3,Inconsistent behavior across devices,Features,Not Sure,No,"Yes, regularly",Suggestions for improvement
Instagram,Monthly,3,Customer Support,5,Unexplained data collection,User Interface,No,No,"No, never",Suggestions for improvement
WhatsApp,Monthly,5,Ease of use,2,Unexplained data collection,Bug Fixes,Not Sure,Not Sure,"No, never",Suggestions for improvement
WhatsApp,Rarely,3,Features,3,Frequent crashes or slow performance,Security,Yes,Yes,"Yes, regularly",No comments
Trello,Never,4,Ease of use,2,Suspicious permissions request,Speed/Performance,Yes,No,"No, never",No comments
Disney+,Rarely,2,Speed/Performance,1,Suspicious permissions request,Customer Support,No,No,"Yes, regularly",Suggestions for improvement
